sample_index,seed_defensive_op,func_name,var,security_sensitive_operation,sample_reason,source_kind,source_reference,code_excerpt
0,kfree,add_channel,ch->ccw,kcalloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
1,kfree,ubifs_do_bulk_read,bu->buf,kmalloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
2,kfree,vkms_plane_duplicate_state,vkms_state,kzalloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
3,kfree,uclogic_params_init_with_opt_desc,desc_copy_ptr,kmemdup,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
4,kfree,zap_shader_load_mdt,newname,kasprintf,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
5,kfree,simdisk_init,sddev,kmalloc_array,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
6,kfree,__get_vm_area_node,area,kzalloc_node,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
7,kfree,ovl_mount_dir,tmp,kstrdup,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
8,kfree,vpd_section_attrib_add,info->key,kstrndup,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
9,kfree,get_phy_data_by_efuse,buf,nvmem_cell_read,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
10,kfree,ath12k_pull_vdev_start_resp_tlv,tb,ath12k_wmi_tlv_parse_alloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
11,kfree,ath11k_pull_bcn_tx_status_ev,tb,ath11k_wmi_tlv_parse_alloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
12,kfree,rtw_init_cmd_priv,pcmdpriv->cmd_allocated_buf,rtw_zmalloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
13,kfree,snd_wavefront_synth_ioctl,wc,memdup_user,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
14,kfree,ocrdma_mbx_alloc_pd_range,cmd,ocrdma_init_emb_mqe,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
15,kfree,ath10k_wmi_tlv_op_pull_vdev_start_ev,tb,ath10k_wmi_tlv_parse_alloc,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
16,kfree,svc_rdma_recv_ctxt_alloc,buffer,kmalloc_node,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
17,kfree,m10bmc_sec_probe,sec->fw_name,kmemdup_nul,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
18,kfree,qed_dcbnl_getcap,dcbx_info,qed_dcbnl_get_dcbx,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
19,kfree,wfx_hif_add_key,hif,wfx_alloc_hif,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
20,kfree,backend_changed,device_type,xenbus_read,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
21,kfree,comedi_unlocked_ioctl,insns,memdup_array_user,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
22,kfree,sprd_dt_node_to_map,configs,pinconf_generic_parse_dt_config,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
23,kfree,tomoyo_init_log,realpath,tomoyo_realpath_from_path,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
24,kfree,ieee80211_process_tdls_channel_switch_resp,elems,ieee802_11_parse_elems,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
25,kfree,mlx5hws_action_create_push_vlan,action,hws_action_create_generic,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
26,kfree,iwl_acpi_get_dsbr,data,iwl_acpi_get_object,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
27,kfree,gpib_match_device_path,device_path,kobject_get_path,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
28,kfree,fan_mode_show,r,lg_wmab,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
