pattern_id,security_sensitive_operation,defensive_operation,reference_function,reasoned_from,pattern_file,security_sensitive_behavior,defensive_behavior
PAT01,aead_request_alloc,aead_request_free,libipw_ccmp_decrypt,seed_extension,patterns/aead_request_free.parsed.json,"When aead_request_alloc is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",aead_request_free is expected on the relevant cleanup/error path or before unsafe use.
PAT02,dma_alloc_wc,dma_free_wc,v3d_platform_drm_probe,seed_extension,patterns/dma_free_wc.parsed.json,"When dma_alloc_wc is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",dma_free_wc is expected on the relevant cleanup/error path or before unsafe use.
PAT03,pci_get_device,pci_dev_put,cavium_ptp_get,seed_extension,patterns/pci_dev_put.parsed.json,"When pci_get_device is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",pci_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT04,mtk_alloc_clk_data,mtk_free_clk_data,clk_mt8196_apmixed_probe,seed_extension,patterns/mtk_free_clk_data.parsed.json,"When mtk_alloc_clk_data is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",mtk_free_clk_data is expected on the relevant cleanup/error path or before unsafe use.
PAT05,of_clk_get_by_name,clk_put,lpc32xx_clocksource_init,seed,patterns/clk_put.parsed.json,"When of_clk_get_by_name is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",clk_put is expected on the relevant cleanup/error path or before unsafe use.
PAT06,of_graph_get_endpoint_by_regs,of_node_put,chipone_dsi_host_attach,seed,patterns/of_node_put.parsed.json,"When of_graph_get_endpoint_by_regs is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",of_node_put is expected on the relevant cleanup/error path or before unsafe use.
PAT07,acpi_dev_get_first_match_dev,acpi_dev_put,cs35l56_hda_read_acpi,seed_extension,patterns/acpi_dev_put.parsed.json,"When acpi_dev_get_first_match_dev is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",acpi_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT08,hci_get_route,hci_dev_put,iso_listen_bis,seed_extension,patterns/hci_dev_put.parsed.json,"When hci_get_route is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",hci_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT09,cpm_muram_alloc,cpm_muram_free,fhci_create_ep,seed_extension,patterns/cpm_muram_free.parsed.json,"When cpm_muram_alloc is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",cpm_muram_free is expected on the relevant cleanup/error path or before unsafe use.
PAT10,device_find_any_child,put_device,slave_show,seed_extension,patterns/put_device.parsed.json,"When device_find_any_child is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",put_device is expected on the relevant cleanup/error path or before unsafe use.
PAT11,scsi_host_lookup,scsi_host_put,iscsi_set_host_param,seed_extension,patterns/scsi_host_put.parsed.json,"When scsi_host_lookup is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",scsi_host_put is expected on the relevant cleanup/error path or before unsafe use.
PAT12,pci_get_subsys,pci_dev_put,nforce2_fsb_read,seed_extension,patterns/pci_dev_put.parsed.json,"When pci_get_subsys is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",pci_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT13,scsi_device_lookup_by_target,scsi_device_put,mptspi_write_spi_device_pg1,seed_extension,patterns/scsi_device_put.parsed.json,"When scsi_device_lookup_by_target is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",scsi_device_put is expected on the relevant cleanup/error path or before unsafe use.
PAT14,nvmem_cell_get,nvmem_cell_put,mt798x_phy_calibration,seed_extension,patterns/nvmem_cell_put.parsed.json,"When nvmem_cell_get is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",nvmem_cell_put is expected on the relevant cleanup/error path or before unsafe use.
PAT15,acpi_get_first_physical_node,put_device,loongson_card_parse_acpi,seed_extension,patterns/put_device.parsed.json,"When acpi_get_first_physical_node is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",put_device is expected on the relevant cleanup/error path or before unsafe use.
PAT16,scp_get,scp_put,mtk_vcodec_fw_scp_init,seed_extension,patterns/scp_put.parsed.json,"When scp_get is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",scp_put is expected on the relevant cleanup/error path or before unsafe use.
PAT17,of_platform_device_create,platform_device_put,fsl_re_chan_probe,seed_extension,patterns/platform_device_put.parsed.json,"When of_platform_device_create is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",platform_device_put is expected on the relevant cleanup/error path or before unsafe use.
PAT18,i2c_get_adapter,i2c_put_adapter,oaktrail_lvds_init,seed_extension,patterns/i2c_put_adapter.parsed.json,"When i2c_get_adapter is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",i2c_put_adapter is expected on the relevant cleanup/error path or before unsafe use.
PAT19,pci_get_domain_bus_and_slot,pci_dev_put,agp_serverworks_probe,seed_extension,patterns/pci_dev_put.parsed.json,"When pci_get_domain_bus_and_slot is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",pci_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT20,of_find_node_by_name,of_node_put,am33xx_pm_rtc_setup,seed,patterns/of_node_put.parsed.json,"When of_find_node_by_name is called, missing paired cleanup or checking can lead to a leak, invalid pointer use, or inconsistent error handling.",of_node_put is expected on the relevant cleanup/error path or before unsafe use.
PAT21,fuse_file_alloc,fuse_file_free,fuse_file_open,seed_extension,patterns/fuse_file_free.parsed.json,"When fuse_file_alloc is called, the returned object, acquired resource, or error state requires consistent defensive handling.",fuse_file_free is expected on the relevant cleanup/error path or before unsafe use.
PAT22,drm_dev_alloc,drm_dev_put,lima_pdev_probe,seed_extension,patterns/drm_dev_put.parsed.json,"When drm_dev_alloc is called, the returned object, acquired resource, or error state requires consistent defensive handling.",drm_dev_put is expected on the relevant cleanup/error path or before unsafe use.
PAT23,of_get_parent,of_node_put,rpi_exp_gpio_probe,seed,patterns/of_node_put.parsed.json,"When of_get_parent is called, the returned object, acquired resource, or error state requires consistent defensive handling.",of_node_put is expected on the relevant cleanup/error path or before unsafe use.
PAT24,scsi_host_alloc,scsi_host_put,ibmvscsi_probe,seed_extension,patterns/scsi_host_put.parsed.json,"When scsi_host_alloc is called, the returned object, acquired resource, or error state requires consistent defensive handling.",scsi_host_put is expected on the relevant cleanup/error path or before unsafe use.
PAT25,clk_bulk_get_all,clk_bulk_put_all,devm_clk_bulk_get_all_enabled,seed_extension,patterns/clk_bulk_put_all.parsed.json,"When clk_bulk_get_all acquires clock resources, missing paired cleanup can lead to resource leaks or inconsistent error handling.",clk_bulk_put_all is expected on cleanup/error paths after successful clk_bulk_get_all acquisition.
PAT26,kthread_run,err-ptr-check,jbd2_journal_start_thread,seed,patterns/err-ptr-check.parsed.json,"When kthread_run creates a kernel thread and returns a task pointer, the return value may be an error pointer and unsafe to use directly.",An error-pointer check such as IS_ERR/PTR_ERR is expected before using the returned task pointer.
