seed_defensive_op,func_name,var,security_sensitive_operation,security_sensitive_behavior,defensive_behavior
kfree,add_channel,ch->ccw,kcalloc,"When kcalloc allocates memory for ch->ccw, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing ch->ccw before function exit.
kfree,ubifs_do_bulk_read,bu->buf,kmalloc,"When kmalloc allocates memory for bu->buf, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed in the out_free section to prevent memory leaks by releasing bu->buf before function exit.
kfree,vkms_plane_duplicate_state,vkms_state,kzalloc,"When kzalloc allocates memory for vkms_state, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing vkms_state before function exit.
kfree,uclogic_params_init_with_opt_desc,desc_copy_ptr,kmemdup,"When kmemdup duplicates memory for desc_copy_ptr, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing desc_copy_ptr before function exit.
kfree,zap_shader_load_mdt,newname,kasprintf,"When kasprintf allocates memory for newname, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the use of newname to prevent memory leaks by releasing newname before function exit.
kfree,simdisk_init,sddev,kmalloc_array,"When kmalloc_array allocates memory for sddev, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing sddev before function exit.
kfree,__get_vm_area_node,area,kzalloc_node,"When kzalloc_node allocates memory for area, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing area before function exit.
kfree,ovl_mount_dir,tmp,kstrdup,"When kstrdup duplicates name into tmp, it creates memory leak risk because failure to free tmp leads to resource exhaustion.",The kfree is executed after the use of tmp to prevent memory leaks by releasing tmp before function exit.
kfree,vpd_section_attrib_add,info->key,kstrndup,"When kstrndup duplicates key into info->key, it creates memory leak risk because failure to free info->key leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing info->key before function exit.
kfree,get_phy_data_by_efuse,buf,nvmem_cell_read,"When nvmem_cell_read reads data into buf, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed after successfully reading data to prevent memory leaks by releasing buf before function exit.
kfree,ath12k_pull_vdev_start_resp_tlv,tb,ath12k_wmi_tlv_parse_alloc,"When ath12k_wmi_tlv_parse_alloc allocates memory for tb, it creates memory leak risk because failure to free tb leads to resource exhaustion.",The kfree is executed when ev is NULL to prevent memory leaks by releasing tb before function exit.
kfree,ath11k_pull_bcn_tx_status_ev,tb,ath11k_wmi_tlv_parse_alloc,"When ath11k_wmi_tlv_parse_alloc allocates memory for tb, it creates memory leak risk because failure to free tb leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing tb before function exit.
kfree,rtw_init_cmd_priv,pcmdpriv->cmd_allocated_buf,rtw_zmalloc,"When rtw_zmalloc allocates memory for pcmdpriv->cmd_allocated_buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing pcmdpriv->cmd_allocated_buf before function exit.
kfree,snd_wavefront_synth_ioctl,wc,memdup_user,"When memdup_user allocates memory for wc, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the use of wc to prevent memory leaks by releasing wc before function exit.
kfree,ocrdma_mbx_alloc_pd_range,cmd,ocrdma_init_emb_mqe,"When ocrdma_init_emb_mqe allocates memory for cmd, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the command is used to prevent memory leaks by releasing cmd before the function exits.
kfree,ath10k_wmi_tlv_op_pull_vdev_start_ev,tb,ath10k_wmi_tlv_parse_alloc,"When ath10k_wmi_tlv_parse_alloc allocates memory for tb, it creates memory leak risk because failure to free tb leads to resource exhaustion.",The kfree is executed when ev is NULL to prevent memory leaks by releasing tb before function exit.
kfree,svc_rdma_recv_ctxt_alloc,buffer,kmalloc_node,"When kmalloc_node allocates memory for buffer, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the fail2 error path to prevent memory leaks by releasing buffer before function exit.
