seed_defensive_op,extended_defensive_op,source_function,variable,security_sensitive_behavior,defensive_behavior,source_report
kfree,__bnx2_free_irq,bnx2_suspend,bp,"When bnx2_netif_stop is called on bp, it creates a use-after-free risk because bp may still be referenced after the IRQ is freed if not properly managed.",The __bnx2_free_irq is executed after stopping the network interface to prevent use-after-free vulnerabilities by releasing the IRQ resources associated with bp.,packaged LLM pattern reference
kfree,__bpf_prog_free,__get_filter,prog,"When bpf_prog_alloc allocates memory for prog, it creates memory leak risk because failure to free leads to resource exhaustion.",The __bpf_prog_free is executed when copy_from_user fails to prevent memory leaks by releasing prog before function exit.,packaged LLM pattern reference
kfree,__bpf_struct_ops_map_free,bpf_struct_ops_map_alloc,map,"When bpf_map_area_alloc allocates memory for map, it creates memory leak risk because failure to free leads to resource exhaustion.",The __bpf_struct_ops_map_free is executed in error paths to prevent memory leaks by releasing map before function exit.,packaged LLM pattern reference
kfree,__devlink_rel_put,devlink_rel_nested_in_notify_work,rel,"When devlinks_xa_get retrieves devlink, it creates a use-after-free risk because if devlink is not properly released, it may lead to accessing freed memory.",The __devlink_rel_put is executed in the cleanup section to prevent memory leaks by releasing the reference to rel.,packaged LLM pattern reference
kfree,__edac_device_free_ctl_info,edac_device_alloc_ctl_info,dev_ctl,"When kzalloc allocates memory for dev_ctl, it creates memory leak risk because failure to free leads to resource exhaustion if an error occurs later in the function.",The __edac_device_free_ctl_info is executed in error paths to prevent memory leaks by releasing dev_ctl before function exit.,packaged LLM pattern reference
of_node_put,free_overlay_changeset,of_overlay_fdt_apply,ovcs,"When kzalloc allocates memory for ovcs, it creates memory leak risk because failure to free allocated resources in error paths leads to resource exhaustion.",The free_overlay_changeset is executed in error paths (err_free_ovcs label) to prevent memory leaks by releasing ovcs and its associated resources before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,ppc4xx_probe_pcix_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the fail: error path to prevent memory leaks by releasing hose when initialization fails before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,mpc83xx_add_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller on error paths leads to resource exhaustion.",The pcibios_free_controller is executed in the err0 error path when mpc83xx_pcie_setup fails to prevent memory leaks by releasing the hose controller before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,ppc4xx_pciex_port_setup_hose,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the fail: error path to prevent memory leaks by releasing hose when initialization fails.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,fsl_add_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the no_bridge error path to prevent memory leaks by releasing the hose structure after unmapping its associated I/O memory regions.,packaged LLM pattern reference
