case_id,pattern_id,candidate_function,candidate_role,security_sensitive_operation,defensive_operation,source_path,expected,audit_status,verdict,detected_bug,matches_expected,missing_defenses,bug_explanation,prompt_tokens,completion_tokens,total_tokens
P01,PAT01,ksmbd_crypt_message,detected_bug,aead_request_alloc,aead_request_free,fs/smb/server/auth.c,bug,completed,inconsistent,yes,yes,['aead_request_free'],The function allocates aead_request via aead_request_alloc() but frees it with kfree() instead of the required aead_request_free(). This is a type mismatch that can lead to memory corruption or improper cleanup because aead_request_alloc may allocate from a different slab or include additional metadata that kfree does not handle correctly.,1828,138,1966
PAT01-R01,PAT01,test_aead_vs_generic_impl,random_comparable,aead_request_alloc,aead_request_free,crypto/testmgr.c,unknown,completed,consistent,no,n/a,[],The function allocates aead_request via aead_request_alloc() and correctly frees it via aead_request_free() on all exit paths (both error and success). The variable generic_req is local and does not escape; it is properly cleaned up in the out label. No inconsistency or missing defense is present.,1824,133,1957
PAT01-R02,PAT01,lib80211_ccmp_decrypt,random_comparable,aead_request_alloc,aead_request_free,net/wireless/lib80211_crypt_ccmp.c,unknown,completed,consistent,no,n/a,[],"The function calls aead_request_alloc and, on success, always calls aead_request_free before returning (either after successful decryption or on error). The allocation failure path returns -ENOMEM without freeing, which is correct because no allocation occurred. No leak or missing cleanup is present.",1735,124,1859
PAT01-R03,PAT01,do_aead_crypto,random_comparable,aead_request_alloc,aead_request_free,security/keys/trusted-keys/trusted_dcp.c,unknown,completed,consistent,no,n/a,[],"The function correctly calls aead_request_free on all paths after aead_request_alloc succeeds, and also frees the aead cipher. No leak or missing cleanup is present.",1273,99,1372
PAT01-R04,PAT01,setup_crypto,random_comparable,aead_request_alloc,aead_request_free,net/ceph/messenger_v2.c,unknown,completed,inconsistent,yes,n/a,['aead_request_free on error path after aead_request_alloc'],"The function allocates con->v2.gcm_req via aead_request_alloc, but on subsequent errors (e.g., crypto_aead_setkey, crypto_aead_setauthsize failures) it returns without calling aead_request_free, causing a memory leak. The allocated request is stored in a connection struct (escapes the function), but the error path does not release it before returning an error, leaving the connection in an inconsistent state with a dangling pointer. The resource is not freed on error paths after successful allocation.",1808,184,1992
PAT01-R05,PAT01,llsec_do_decrypt_auth,random_comparable,aead_request_alloc,aead_request_free,net/mac802154/llsec.c,unknown,completed,consistent,no,n/a,[],"The function allocates aead_request, uses it, and then frees it with kfree_sensitive (which is semantically equivalent to aead_request_free for this context). No leak or missing cleanup on error paths because the only error path after allocation is the NULL check which returns -ENOMEM without allocation. The resource does not escape; it is freed before return. No bug.",1114,143,1257
PAT01-R06,PAT01,sec_aead_soft_crypto,random_comparable,aead_request_alloc,aead_request_free,drivers/crypto/hisilicon/sec2/sec_crypto.c,unknown,completed,consistent,no,n/a,[],"The function allocates aead_request via aead_request_alloc and always frees it via aead_request_free after use, regardless of success or failure. No leak or missing cleanup exists.",1077,104,1181
PAT01-R07,PAT01,alg_test_aead,random_comparable,aead_request_alloc,aead_request_free,crypto/testmgr.c,unknown,completed,consistent,no,n/a,[],"The function allocates aead_request via aead_request_alloc and correctly frees it via aead_request_free on all exit paths (both success and error). The cleanup is unconditional after the out label, so no leak or missing defense exists.",1172,112,1284
PAT01-R08,PAT01,enc_dec_message,random_comparable,aead_request_alloc,aead_request_free,drivers/virt/coco/sev-guest/sev-guest.c,unknown,completed,consistent,no,n/a,[],The function allocates aead_request via aead_request_alloc and correctly frees it via aead_request_free on all paths (both success and error) before returning. No leak or missing cleanup exists.,1224,102,1326
PAT01-R09,PAT01,rtllib_ccmp_encrypt,random_comparable,aead_request_alloc,aead_request_free,drivers/staging/rtl8192e/rtllib_crypt_ccmp.c,unknown,completed,consistent,no,n/a,[],"The function allocates aead_request via aead_request_alloc and correctly frees it with aead_request_free after use, even on the error path (the allocation failure returns -ENOMEM without needing free). No leak or missing cleanup exists.",1410,116,1526
